pos,age,muslim,rel_others,yoruba,igbo,eth_others,nc,nw,se,ss,sw,lat,lng,wealth,urban
1,45,0,0,0,0,1,1,0,0,0,0,6.90227,8.097115,-106269,0
0,16,0,0,0,0,1,1,0,0,0,0,6.90227,8.097115,-106269,0
1,48,0,1,0,0,1,1,0,0,0,0,6.90227,8.097115,-89171,0
0,45,0,1,0,0,1,1,0,0,0,0,6.90227,8.097115,-101669,0
0,17,0,0,0,0,1,1,0,0,0,0,6.90227,8.097115,-101669,0
0,35,0,1,0,0,1,1,0,0,0,0,6.90227,8.097115,-105983,0
0,17,0,0,0,0,1,1,0,0,0,0,6.90227,8.097115,-105983,0
1,25,0,1,0,0,1,1,0,0,0,0,6.90227,8.097115,-96281,0
0,38,0,1,0,0,1,1,0,0,0,0,6.90227,8.097115,-111039,0
0,35,0,1,0,0,1,1,0,0,0,0,6.90227,8.097115,-111039,0
0,23,0,0,0,0,1,1,0,0,0,0,6.90227,8.097115,-72415,0
0,23,0,1,0,0,1,1,0,0,0,0,6.90227,8.097115,-100315,0
0,49,0,1,0,0,1,1,0,0,0,0,6.90227,8.097115,-105382,0
0,40,0,1,0,0,1,1,0,0,0,0,6.90227,8.097115,-96060,0
0,24,0,0,0,0,1,1,0,0,0,0,6.90227,8.097115,-96060,0
1,30,0,0,0,0,1,1,0,0,0,0,6.90227,8.097115,-104143,0
0,27,0,0,0,0,1,1,0,0,0,0,6.90227,8.097115,-106067,0
1,34,0,1,0,0,1,1,0,0,0,0,6.90227,8.097115,-40179,0
0,15,0,0,0,0,1,1,0,0,0,0,6.90227,8.097115,-40179,0
1,30,0,1,0,0,1,1,0,0,0,0,6.90227,8.097115,-40179,0
0,25,0,1,0,0,1,1,0,0,0,0,6.90227,8.097115,-92623,0
0,30,0,1,0,0,1,1,0,0,0,0,6.90227,8.097115,-88902,0
0,25,0,0,0,0,1,1,0,0,0,0,6.90227,8.097115,-88902,0
1,30,0,1,0,0,1,1,0,0,0,0,6.90227,8.097115,-82795,0
0,25,0,1,0,0,1,1,0,0,0,0,6.90227,8.097115,-83698,0
1,25,0,1,0,0,1,1,0,0,0,0,6.90227,8.097115,-81149,0
1,25,0,1,0,0,1,1,0,0,0,0,6.90227,8.097115,-100455,0
1,31,0,0,0,0,1,1,0,0,0,0,6.90227,8.097115,-88050,0
1,45,0,0,0,0,1,1,0,0,0,0,6.90227,8.097115,-96688,0
0,16,0,0,0,0,1,1,0,0,0,0,6.90227,8.097115,-96688,0
0,17,0,1,0,0,1,1,0,0,0,0,6.90227,8.097115,-89962,0
1,45,1,0,0,0,1,1,0,0,0,0,6.90227,8.097115,-108891,0
0,16,0,1,0,0,1,1,0,0,0,0,6.90227,8.097115,-105836,0
0,39,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,14886,0
0,27,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,14886,0
0,38,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,3512,0
0,17,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,3512,0
0,40,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-65470,0
0,25,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-45584,0
0,20,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-45584,0
0,25,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-56436,0
0,43,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-73340,0
0,17,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-73340,0
0,39,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-27627,0
0,17,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-27627,0
0,15,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-27627,0
0,36,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,44924,0
0,37,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,44924,0
0,34,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-54846,0
0,16,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-54846,0
0,30,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-41079,0
0,17,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-78008,0
0,25,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-74044,0
0,30,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-87700,0
0,36,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-51390,0
0,35,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-32410,0
0,35,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-82647,0
0,18,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-51708,0
0,24,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-51708,0
0,20,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-51708,0
0,27,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-51708,0
0,19,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-51708,0
0,35,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,40315,0
0,21,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-63344,0
0,16,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-84424,0
0,25,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,14238,0
0,21,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-19278,0
0,18,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,4089,0
0,35,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,65302,0
0,15,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-16112,0
0,15,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,17542,0
0,17,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,17542,0
0,22,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,17542,0
0,32,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-77778,0
0,33,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-83710,0
0,43,1,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-24048,0
0,30,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-15013,0
0,23,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-15013,0
0,18,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-15013,0
0,40,1,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-80534,0
0,19,1,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-80534,0
0,17,1,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-80534,0
0,15,1,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-80534,0
0,39,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-62769,0
0,20,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-62769,0
0,49,1,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-61830,0
0,25,1,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-61830,0
0,35,1,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-61830,0
0,18,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-77134,0
0,35,1,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-54770,0
0,19,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-54770,0
0,16,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-76670,0
0,21,1,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-69241,0
